customer_id,age,gender,loyalty_member,join_date
C000001,40,Male,Yes,2025-05-21
C000002,47,Male,No,2021-12-26
C000003,58,Female,Yes,2022-09-13
C000004,25,Female,No,2025-02-27
C000005,43,Male,No,2023-08-31
C000006,32,Male,No,2022-05-22
C000007,51,Male,Yes,2024-07-28
C000008,56,Female,No,2024-08-12
C000009,18,Male,No,2025-06-23
C000010,40,Male,No,2023-06-07
C000011,44,Male,No,2025-12-22
C000012,53,Male,Yes,2024-01-24
C000013,68,Male,Yes,2022-03-23
C000014,32,Female,Yes,2024-08-16
C000015,61,Female,Yes,2026-02-18
C000016,30,Female,No,2025-09-19
C000017,29,Male,No,2021-05-03
C000018,67,Male,Yes,2023-09-28
C000019,69,Male,Yes,2022-09-28
C000020,32,Female,Yes,2022-05-11
C000021,29,Female,Yes,2021-09-22
C000022,66,Male,No,2025-06-28
C000023,49,Female,No,2025-09-23
C000024,32,Male,Yes,2022-01-10
C000025,33,Male,No,2025-08-11
C000026,31,Female,No,2024-09-26
C000027,29,Male,No,2024-08-29
C000028,68,Female,No,2025-02-07
C000029,54,Female,No,2023-05-23
C000030,54,Female,No,2025-06-11
C000031,65,Female,No,2024-05-17
C000032,28,Male,Yes,2025-10-21
C000033,47,Female,Yes,2022-04-19
C000034,23,Female,Yes,2024-06-13
C000035,67,Male,No,2021-09-02
C000036,58,Male,Yes,2022-05-02
C000037,56,Female,Yes,2024-02-13
C000038,28,Female,Yes,2023-05-11
C000039,27,Female,Yes,2023-07-25
C000040,23,Female,Yes,2024-10-16
C000041,66,Male,No,2022-12-04
C000042,27,Female,No,2025-05-12
C000043,39,Female,Yes,2024-08-07
C000044,41,Male,Yes,2023-12-05
C000045,30,Female,No,2024-01-04
C000046,69,Male,No,2021-05-06
C000047,31,Male,Yes,2025-07-12
C000048,23,Male,No,2023-01-22
C000049,49,Female,Yes,2025-09-04
C000050,28,Male,No,2025-02-08
C000051,27,Male,Yes,2023-06-06
C000052,29,Female,No,2021-10-04
C000053,39,Female,No,2023-12-26
C000054,45,Female,No,2024-10-15
C000055,70,Female,No,2022-07-03
C000056,58,Female,Yes,2023-08-21
C000057,30,Male,Yes,2024-04-29
C000058,66,Male,No,2023-08-06
C000059,67,Male,Yes,2024-10-23
C000060,43,Male,Yes,2025-08-13
C000061,46,Male,Yes,2025-07-09
C000062,40,Female,Yes,2021-06-03
C000063,53,Female,No,2025-06-26
C000064,54,Female,No,2025-01-20
C000065,54,Male,Yes,2022-12-30
C000066,34,Female,No,2022-02-09
C000067,66,Male,Yes,2024-05-02
C000068,59,Female,No,2021-08-29
C000069,59,Female,Yes,2024-04-20
C000070,58,Female,No,2022-02-16
C000071,48,Female,No,2022-11-10
C000072,38,Female,Yes,2023-09-14
C000073,48,Female,No,2022-11-09
C000074,26,Female,Yes,2023-08-14
C000075,60,Female,Yes,2023-11-19
C000076,28,Male,Yes,2023-08-11
C000077,36,Male,Yes,2023-01-31
C000078,69,Female,Yes,2023-12-09
C000079,21,Female,No,2024-10-03
C000080,38,Male,Yes,2022-01-29
C000081,21,Male,No,2024-03-25
C000082,49,Male,No,2024-04-16
C000083,38,Female,Yes,2024-06-19
C000084,66,Female,Yes,2021-07-17
C000085,64,Female,No,2023-09-30
C000086,47,Female,Yes,2021-03-16
C000087,47,Male,Yes,2022-06-03
C000088,38,Female,Yes,2022-04-22
C000089,58,Female,Yes,2025-06-24
C000090,44,Male,No,2022-07-18
C000091,35,Male,No,2024-04-17
C000092,21,Male,Yes,2024-09-04
C000093,39,Female,Yes,2022-02-23
C000094,18,Male,Yes,2026-01-15
C000095,35,Male,No,2023-12-11
C000096,42,Female,Yes,2025-01-30
C000097,65,Male,No,2024-06-04
C000098,27,Female,Yes,2022-06-18
C000099,62,Male,Yes,2021-07-17
C000100,67,Female,Yes,2025-08-10
C000101,36,Male,Yes,2023-11-15
C000102,27,Female,No,2024-07-20
C000103,23,Female,No,2022-08-12
C000104,42,Female,Yes,2025-12-14
C000105,67,Female,No,2022-05-09
C000106,60,Male,Yes,2024-03-29
C000107,60,Female,Yes,2023-11-10
C000108,62,Female,Yes,2023-06-25
C000109,34,Female,No,2022-07-23
C000110,43,Male,Yes,2025-12-09
C000111,27,Female,No,2024-07-19
C000112,58,Female,No,2022-10-17
C000113,69,Female,Yes,2023-12-28
C000114,65,Female,No,2025-06-16
C000115,21,Female,Yes,2025-09-24
C000116,22,Male,No,2023-06-04
C000117,36,Female,No,2024-08-03
C000118,57,Female,Yes,2023-10-27
C000119,52,Female,No,2023-09-03
C000120,41,Female,No,2024-08-03
C000121,38,Male,Yes,2022-09-20
C000122,47,Male,Yes,2023-12-09
C000123,57,Female,Yes,2022-09-24
C000124,23,Male,No,2023-10-07
C000125,45,Male,Yes,2025-04-11
C000126,65,Male,Yes,2023-11-01
C000127,56,Male,Yes,2025-05-20
C000128,35,Male,No,2022-11-10
C000129,20,Female,Yes,2022-06-08
C000130,58,Male,Yes,2022-01-16
C000131,39,Female,Yes,2024-05-01
C000132,33,Female,No,2022-03-21
C000133,52,Female,No,2021-04-20
C000134,41,Male,Yes,2022-12-06
C000135,57,Male,Yes,2025-05-09
C000136,63,Male,No,2024-10-03
C000137,23,Female,Yes,2024-07-27
C000138,70,Male,No,2022-03-29
C000139,28,Female,No,2022-03-03
C000140,39,Male,No,2024-07-16
C000141,21,Male,Yes,2021-08-02
