order_id,order_date,product_id,store_id,customer_id,quantity,unit_price,discount,revenue,cost,profit
0RD00000001,07-01-2023,P0080,S093,C040749,5,14.43,0.15,61.33,42.77,18.56
0RD00000002,22-10-2023,P0173,S065,C020161,3,12.01,0,36.03,19.06,16.97
0RD00000003,07-05-2023,P0115,S078,C048069,2,10.02,0,20.04,10.29,9.75
0RD00000004,23-06-2024,P0186,S088,C047901,2,14.66,0.1,26.39,16.35,10.04
0RD00000005,24-09-2024,P0197,S054,C033950,1,12.34,0,12.34,7.94,4.4
0RD00000006,29-03-2024,P0160,S089,C008918,4,13.52,0,54.08,36.59,17.49
0RD00000007,26-02-2023,P0062,S024,C002897,1,11.97,0.1,10.77,7.16,3.61
0RD00000008,03-11-2023,P0111,S085,C038072,5,4.62,0,23.1,16.15,6.95
0RD00000009,11-10-2024,P0135,S029,C003786,4,7.88,0,31.52,19.9,11.62
0RD00000010,17-12-2023,P0069,S056,C043148,3,8.88,0,26.64,18.19,8.45
0RD00000011,01-01-2023,P0181,S070,C016710,5,12.62,0,63.1,43.74,19.36
0RD00000012,18-03-2023,P0137,S028,C040620,4,4.1,0,16.4,9.9,6.5
0RD00000013,06-11-2024,P0003,S021,C048449,3,10.9,0,32.7,17.29,15.41
0RD00000014,08-11-2024,P0026,S005,C009995,2,4.43,0.1,7.97,5.5,2.48
0RD00000015,08-01-2024,P0042,S100,C011763,2,5.48,0,10.96,6.83,4.13
0RD00000016,03-04-2023,P0110,S037,C037715,2,5.93,0,11.86,6.11,5.75
0RD00000017,16-08-2024,P0058,S062,C038708,3,5.51,0,16.53,10.7,5.83
0RD00000018,01-06-2024,P0088,S069,C013225,5,8.54,0,42.7,26.15,16.55
0RD00000019,26-03-2024,P0069,S063,C001239,3,9.05,0,27.15,15.61,11.54
0RD00000020,10-09-2023,P0037,S049,C049903,1,4.52,0.1,4.07,2.22,1.84
0RD00000021,28-01-2023,P0047,S088,C011617,5,4.56,0,22.8,11.43,11.37
0RD00000022,10-03-2024,P0048,S029,C020288,1,7.35,0.15,6.25,4.08,2.17
0RD00000023,06-12-2023,P0145,S040,C017698,4,7.54,0.15,25.64,16.01,9.63
0RD00000024,20-10-2024,P0069,S097,C011533,1,10.61,0.1,9.55,5.9,3.65
0RD00000025,15-09-2024,P0177,S084,C005976,2,5.27,0,10.54,5.97,4.57
0RD00000026,09-06-2024,P0136,S052,C031721,5,7.18,0.1,32.31,19.05,13.26
0RD00000027,29-11-2023,P0023,S061,C027411,1,5.17,0.2,4.14,2.76,1.38
0RD00000028,30-04-2024,P0049,S095,C018065,1,11.89,0,11.89,8.2,3.69
0RD00000029,17-04-2024,P0171,S001,C039927,4,8.53,0.15,29,18.5,10.5
0RD00000030,14-02-2023,P0055,S099,C006289,4,6.25,0,25,14.4,10.6
0RD00000031,27-01-2024,P0175,S034,C005943,1,10.83,0,10.83,6.49,4.34
0RD00000032,05-04-2024,P0057,S043,C003841,5,13.58,0,67.9,44.91,22.99
0RD00000033,13-10-2023,P0171,S052,C026554,4,12.89,0,51.56,31.46,20.1
0RD00000034,16-05-2024,P0106,S039,C007497,2,14.38,0.2,23.01,15.84,7.17
0RD00000035,24-07-2023,P0144,S003,C008396,4,14.88,0.2,47.62,24.33,23.29
0RD00000036,10-04-2024,P0176,S033,C005440,2,10.28,0.2,16.45,10.04,6.4
0RD00000037,15-02-2024,P0073,S096,C007972,1,13.2,0.2,10.56,5.77,4.79
0RD00000038,03-07-2023,P0157,S051,C024031,3,13.03,0.1,35.18,22.84,12.34
0RD00000039,09-01-2024,P0049,S068,C010667,1,4.6,0,4.6,2.49,2.11
0RD00000040,10-10-2024,P0161,S039,C000153,3,13.38,0.15,34.12,18.9,15.22
0RD00000041,09-03-2023,P0074,S007,C015022,2,4.63,0,9.26,4.89,4.37
0RD00000042,15-12-2023,P0149,S040,C025509,4,13.53,0,54.12,27.31,26.81
0RD00000043,06-05-2023,P0094,S017,C043764,5,6.34,0,31.7,18.39,13.31
0RD00000044,14-12-2024,P0064,S053,C019894,2,8.29,0,16.58,9.59,6.99
0RD00000045,30-04-2023,P0003,S051,C020108,4,8.88,0.15,30.19,16.48,13.71
0RD00000046,23-08-2023,P0001,S091,C033225,5,6,0,30,16.71,13.29
0RD00000047,29-10-2024,P0146,S068,C007002,5,9.57,0,47.85,32.29,15.56
